   lat,    lon,    alt,    v_n,    v_e,    v_d,  gyrox,  gyroy,  gyroz,   accx,   accy,   accz,   magx,   magy,   magz
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00063640, 0.00109882, -0.07810678, -0.06128799,  -0.06090312, -9.63442328, 47.28757340, 4.51786476, 2.02396039
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00595270, -0.00455438, -0.03838312, 0.34070066,  -0.29335233, -9.37093036, 47.27163526, 5.00763520, 0.96860997
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.03009043, -0.01206770, 0.02265016, 0.64781435,  -0.22847585, -9.21111755, 47.34663507, 3.59404875, 2.44970963
45.41745421, 11.86723930, 170.79693036, 13.24645409, 8.68981954, -2.24206028, 0.00152662, -0.01952586, 0.01291287, 1.33758278,  0.12859913, -9.22386711, 47.35487622, 3.73255240, 2.05082102
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.04662253, -0.02104092, 0.00738307, 1.10548413,  0.20051091, -9.18992321, 47.30500705, 3.56613368, 3.18451172
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00868582, 0.01785813, -0.01963756, 0.98929559,  0.50590879, -9.33012395, 47.28541387, 4.55386701, 1.99350107
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01913049, 0.01187057, -0.06799058, 0.90907344,  0.18758684, -9.55028777, 47.33325445, 4.44770701, 0.63485542
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02232459, -0.00355729, -0.05629969, 0.60903543,  0.02267757, -9.65291758, 47.29762383, 3.54819617, 3.31167630
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.03162877, -0.01396767, -0.01962783, 0.56609654,  -0.19000318, -9.40486118, 47.37467342, 3.56647548, 1.88220267
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01399539, -0.00929764, 0.01355838, 0.28606354,  -0.04070202, -9.28422768, 47.21197955, 4.76071115, 2.99778798
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.04704187, 0.00042678, -0.02117643, 0.30102710,  -0.15915650, -9.41572654, 47.45116072, 2.96643698, -0.45794543
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.04000731, 0.00600710, -0.01452196, 0.15757151,  -0.13489590, -9.67920093, 47.36605323, 4.10809258, 0.45021431
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.03017488, -0.00801845, -0.00753684, 0.24787844,  -0.02753133, -9.44333388, 47.14102517, 5.86296915, 1.99285101
45.41757536, 11.86733873, 170.90735780, 14.24522209, 7.61746009, 0.38640080, 0.02613401, -0.00448202, 0.01652991, 0.56899413,  -0.01367732, -9.39809803, 47.29348225, 4.46581674, 2.00128287
