lat, lon, h, v_n, v_e, v_d, q0, q1, q2, q3, xg_1, xg_2, xg_3
45.417982, 11.867693, 170.274938, 14.896262, 7.199461, 0.930050, 0.968970, 0.013438, -0.033882, 0.244476, 0.007641, 0.003001, -0.019675
45.417995, 11.867703, 170.181933, 14.881998, 7.137171, 0.957226, 0.961768, 0.081101, 0.008407, 0.261446, 0.007641, 0.003001, -0.019675
45.418009, 11.867712, 170.086210, 14.947220, 6.915197, 1.017995, 0.873986, 0.417190, -0.110129, 0.223544, 0.007641, 0.003001, -0.019675
45.418022, 11.867721, 169.984411, 14.682764, 6.206207, 1.382530, 0.984111, 0.009427, -0.093387, 0.150720, 0.007641, 0.003001, -0.019675
45.418036, 11.867729, 169.846157, 14.616266, 6.196083, 1.313055, 0.981825, -0.007660, -0.063495, 0.178689, 0.007641, 0.003001, -0.019675
45.418049, 11.867736, 169.714852, 14.586222, 6.174058, 1.242479, 0.982230, -0.009441, -0.063475, 0.176370, 0.007641, 0.003001, -0.019675
45.418061, 11.867744, 169.590604, 14.535845, 6.188250, 1.217769, 0.977793, -0.009990, -0.045977, 0.204223, 0.007641, 0.003001, -0.019675
45.418072, 11.867752, 169.468827, 14.494204, 6.204920, 1.285080, 0.973874, -0.005853, -0.031373, 0.224835, 0.007642, 0.003001, -0.019675
45.418084, 11.867760, 169.340319, 14.445144, 6.245106, 1.393342, 0.971877, -0.004199, -0.024674, 0.234156, 0.007642, 0.003001, -0.019675
45.418080, 11.867809, 172.918560, 14.351789, 9.232002, -0.441095, 0.972553, -0.002916, -0.025065, 0.231308, 0.007642, 0.003001, -0.019675
45.418092, 11.867821, 172.962669, 14.321507, 9.239142, -0.416954, 0.973104, -0.003286, -0.025393, 0.228938, 0.007642, 0.003001, -0.019675
45.418105, 11.867833, 173.004365, 14.294850, 9.201048, -0.394353, 0.974146, -0.007329, -0.026884, 0.224194, 0.007641, 0.003001, -0.019675
45.418118, 11.867845, 173.043800, 14.296592, 9.173394, -0.326762, 0.974102, -0.008682, -0.028529, 0.224133, 0.007641, 0.003001, -0.019675
45.418131, 11.867856, 173.076476, 14.323746, 9.176221, -0.250401, 0.975307, -0.009501, -0.031813, 0.218346, 0.007642, 0.003001, -0.019675
45.418144, 11.867868, 173.101516, 14.369391, 9.170876, -0.174235, 0.974750, -0.010142, -0.031887, 0.220776, 0.007642, 0.003001, -0.019676
45.418157, 11.867880, 173.118940, 14.393443, 9.177429, -0.072162, 0.974457, -0.011766, -0.032382, 0.221916, 0.007642, 0.003001, -0.019676
45.418170, 11.867892, 173.126156, 14.400350, 9.175477, 0.001543, 0.974999, -0.012973, -0.032466, 0.219443, 0.007642, 0.003001, -0.019676
